"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Mon May 27 20:16:36 GMT 2024","Mon May 27 20:16:36 GMT 2024","0","Surefire suite","Surefire test","com.luma.selenium.MenPageTest","com.luma.selenium.MenPageTest","testVerifyingMenLinkIsDisplayedClickableRedirectionInTheMainPage","testVerifyingMenLinkIsDisplayedClickableRedirectionInTheMainPage",""
"unknown","Mon May 27 20:16:36 GMT 2024","Mon May 27 20:16:36 GMT 2024","0","Surefire suite","Surefire test","com.luma.selenium.AddressBookPageTest","com.luma.selenium.AddressBookPageTest","testAddressBookPage","testAddressBookPage",""
"unknown","Mon May 27 20:16:36 GMT 2024","Mon May 27 20:16:36 GMT 2024","1","Surefire suite","Surefire test","com.luma.api.MagentoApiTest","com.luma.api.MagentoApiTest","testGetCustomerInfo","testGetCustomerInfo",""
"passed","Mon May 27 20:18:38 GMT 2024","Mon May 27 20:18:40 GMT 2024","2813","Surefire suite","Surefire test","com.luma.selenium.SignInSeleniumTest","com.luma.selenium.SignInSeleniumTest","testSignIn","testSignIn",""
"passed","Mon May 27 20:17:46 GMT 2024","Mon May 27 20:18:19 GMT 2024","33228","Surefire suite","Surefire test","com.luma.palywright.NavigationPlaywrightPageTest","com.luma.palywright.NavigationPlaywrightPageTest","testNavigateToMenuItems","testNavigateToMenuItems",""
"unknown","Mon May 27 20:16:36 GMT 2024","Mon May 27 20:16:36 GMT 2024","0","Surefire suite","Surefire test","com.luma.selenium.WishlistPageTest","com.luma.selenium.WishlistPageTest","testAddRandomProductToWishlist","testAddRandomProductToWishlist",""
"passed","Mon May 27 20:18:20 GMT 2024","Mon May 27 20:18:25 GMT 2024","4634","Surefire suite","Surefire test","com.luma.selenium.VerifyDescendingSortByPriceSeleniumTest","com.luma.selenium.VerifyDescendingSortByPriceSeleniumTest","testDescendingSortByPrice","testDescendingSortByPrice",""
"unknown","Mon May 27 20:16:36 GMT 2024","Mon May 27 20:16:36 GMT 2024","0","Surefire suite","Surefire test","com.luma.palywright.LumaHomeNavigationTest","com.luma.palywright.LumaHomeNavigationTest","testWomenSectionButtonsClickable","testWomenSectionButtonsClickable",""
"unknown","Mon May 27 20:16:36 GMT 2024","Mon May 27 20:16:36 GMT 2024","0","Surefire suite","Surefire test","com.luma.selenium.CartTest","com.luma.selenium.CartTest","testCartPricing","testCartPricing",""
"passed","Mon May 27 20:18:27 GMT 2024","Mon May 27 20:18:35 GMT 2024","8350","Surefire suite","Surefire test","com.luma.selenium.SignUpPageTest","com.luma.selenium.SignUpPageTest","testSignInUser","testSignInUser",""
"passed","Mon May 27 20:18:41 GMT 2024","Mon May 27 20:18:42 GMT 2024","1071","Surefire suite","Surefire test","com.luma.selenium.MainPageTest","com.luma.selenium.MainPageTest","testMainPageElements","testMainPageElements",""
"passed","Mon May 27 20:18:36 GMT 2024","Mon May 27 20:18:36 GMT 2024","838","Surefire suite","Surefire test","com.luma.selenium.LoginPageTest","com.luma.selenium.LoginPageTest","testNavigationBar","testNavigationBar",""
"passed","Mon May 27 20:17:22 GMT 2024","Mon May 27 20:17:27 GMT 2024","4884","Surefire suite","Surefire test","com.luma.palywright.LumaHomeNavigationTest","com.luma.palywright.LumaHomeNavigationTest","testNamesWomenSection","testNamesWomenSection",""
"passed","Mon May 27 20:17:31 GMT 2024","Mon May 27 20:17:45 GMT 2024","14147","Surefire suite","Surefire test","com.luma.palywright.VerifyDescendingSortByPriceTest","com.luma.palywright.VerifyDescendingSortByPriceTest","testDescendingSortByPrice","testDescendingSortByPrice",""
"passed","Mon May 27 20:16:59 GMT 2024","Mon May 27 20:17:19 GMT 2024","19661","Surefire suite","Surefire test","com.luma.palywright.SignInTest","com.luma.palywright.SignInTest","testSingIn","testSingIn",""
"passed","Mon May 27 20:18:42 GMT 2024","Mon May 27 20:18:43 GMT 2024","809","Surefire suite","Surefire test","com.luma.selenium.SearchBoxTest","com.luma.selenium.SearchBoxTest","testFindBackPack","testFindBackPack",""
"passed","Mon May 27 20:16:36 GMT 2024","Mon May 27 20:16:59 GMT 2024","22725","Surefire suite","Surefire test","com.luma.palywright.CreateAccountPlaywrightPageTest","com.luma.palywright.CreateAccountPlaywrightPageTest","testSignInUser","testSignInUser",""
"passed","Mon May 27 20:18:25 GMT 2024","Mon May 27 20:18:26 GMT 2024","753","Surefire suite","Surefire test","com.luma.selenium.VerifyDescendingSortByPriceSeleniumTest","com.luma.selenium.VerifyDescendingSortByPriceSeleniumTest","testSelenium","testSelenium",""
"passed","Mon May 27 20:17:19 GMT 2024","Mon May 27 20:17:22 GMT 2024","2822","Surefire suite","Surefire test","com.luma.palywright.HomeTest","com.luma.palywright.HomeTest","testPlaywrightHome","testPlaywrightHome",""
"unknown","Mon May 27 20:16:36 GMT 2024","Mon May 27 20:16:36 GMT 2024","0","Surefire suite","Surefire test","com.luma.selenium.CartTest","com.luma.selenium.CartTest","testCartQuantity","testCartQuantity",""
"passed","Mon May 27 20:17:28 GMT 2024","Mon May 27 20:17:31 GMT 2024","2875","Surefire suite","Surefire test","com.luma.palywright.LumaHomeNavigationTest","com.luma.palywright.LumaHomeNavigationTest","testNavigationBar","testNavigationBar",""
"passed","Mon May 27 20:18:37 GMT 2024","Mon May 27 20:18:37 GMT 2024","648","Surefire suite","Surefire test","com.luma.selenium.SignInSeleniumTest","com.luma.selenium.SignInSeleniumTest","testSign","testSign",""
