"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 02 23:02:01 GMT 2024","Tue Jul 02 23:02:09 GMT 2024","7952","CrossBrowser","FirefoxTest","com.luma.selenium.ProductPageTest","com.luma.selenium.ProductPageTest","testProduct","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
"passed","Tue Jul 02 23:02:01 GMT 2024","Tue Jul 02 23:02:05 GMT 2024","3643","CrossBrowser","FirefoxTest","com.luma.selenium.NavigationTest","com.luma.selenium.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the base URL and title of the application are correct and as expected."
"passed","Tue Jul 02 23:01:48 GMT 2024","Tue Jul 02 23:01:49 GMT 2024","1532","CrossBrowser","ChromeTest","com.luma.selenium.NavigationTest","com.luma.selenium.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the base URL and title of the application are correct and as expected."
"passed","Tue Jul 02 23:02:01 GMT 2024","Tue Jul 02 23:02:06 GMT 2024","4544","CrossBrowser","FirefoxTest","com.luma.selenium.NavigationTest","com.luma.selenium.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Tue Jul 02 23:01:48 GMT 2024","Tue Jul 02 23:01:50 GMT 2024","2407","CrossBrowser","ChromeTest","com.luma.selenium.NavigationTest","com.luma.selenium.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Tue Jul 02 23:01:50 GMT 2024","Tue Jul 02 23:01:52 GMT 2024","1826","CrossBrowser","ChromeTest","com.luma.selenium.NavigationTest","com.luma.selenium.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Tue Jul 02 23:01:53 GMT 2024","Tue Jul 02 23:01:55 GMT 2024","1498","CrossBrowser","ChromiumTest","com.luma.selenium.NavigationTest","com.luma.selenium.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the base URL and title of the application are correct and as expected."
"passed","Tue Jul 02 23:02:09 GMT 2024","Tue Jul 02 23:02:12 GMT 2024","3223","CrossBrowser","FirefoxTest","com.luma.selenium.NavigationTest","com.luma.selenium.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Tue Jul 02 23:01:53 GMT 2024","Tue Jul 02 23:01:57 GMT 2024","3400","CrossBrowser","ChromiumTest","com.luma.selenium.ProductPageTest","com.luma.selenium.ProductPageTest","testProduct","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
"passed","Tue Jul 02 23:01:53 GMT 2024","Tue Jul 02 23:01:55 GMT 2024","2048","CrossBrowser","ChromiumTest","com.luma.selenium.NavigationTest","com.luma.selenium.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Tue Jul 02 23:01:48 GMT 2024","Tue Jul 02 23:01:53 GMT 2024","4946","CrossBrowser","ChromeTest","com.luma.selenium.ProductPageTest","com.luma.selenium.ProductPageTest","testProduct","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
"passed","Tue Jul 02 23:01:55 GMT 2024","Tue Jul 02 23:01:58 GMT 2024","2044","CrossBrowser","ChromiumTest","com.luma.selenium.NavigationTest","com.luma.selenium.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
