"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Tue Jul 02 22:59:10 GMT 2024","Tue Jul 02 22:59:10 GMT 2024","0","Surefire suite","Surefire test","com.luma.api.MagentoApiTest","com.luma.api.MagentoApiTest","testGetCustomerInfo","testGetCustomerInfo",""
"unknown","Tue Jul 02 22:59:10 GMT 2024","Tue Jul 02 22:59:10 GMT 2024","0","Surefire suite","Surefire test","com.luma.selenium.AddressBookPageTest","com.luma.selenium.AddressBookPageTest","testAddressBookPage","testAddressBookPage",""
"passed","Tue Jul 02 22:59:31 GMT 2024","Tue Jul 02 22:59:36 GMT 2024","4676","Surefire suite","Surefire test","com.luma.selenium.SignUpPageTest","com.luma.selenium.SignUpPageTest","testSignInUser","testSignInUser",""
"passed","Tue Jul 02 22:59:28 GMT 2024","Tue Jul 02 22:59:29 GMT 2024","942","Surefire suite","Surefire test","com.luma.selenium.VerifyDescendingSortByPriceSeleniumTest","com.luma.selenium.VerifyDescendingSortByPriceSeleniumTest","testSelenium","testSelenium",""
"passed","Tue Jul 02 22:59:59 GMT 2024","Tue Jul 02 23:00:30 GMT 2024","31235","Surefire suite","Surefire test","com.luma.palywright.NavigationPlaywrightPageTest","com.luma.palywright.NavigationPlaywrightPageTest","testNavigateToMenuItems","testNavigateToMenuItems",""
"passed","Tue Jul 02 22:59:18 GMT 2024","Tue Jul 02 22:59:20 GMT 2024","2444","Surefire suite","Surefire test","com.luma.selenium.ProductPageTest","com.luma.selenium.ProductPageTest","testProduct","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
"unknown","Tue Jul 02 22:59:10 GMT 2024","Tue Jul 02 22:59:10 GMT 2024","0","Surefire suite","Surefire test","com.luma.palywright.LumaHomeNavigationTest","com.luma.palywright.LumaHomeNavigationTest","testWomenSectionButtonsClickable","testWomenSectionButtonsClickable",""
"passed","Tue Jul 02 22:59:11 GMT 2024","Tue Jul 02 22:59:12 GMT 2024","1159","Surefire suite","Surefire test","com.luma.selenium.SearchBoxTest","com.luma.selenium.SearchBoxTest","testFindBackPack","testFindBackPack",""
"passed","Tue Jul 02 23:01:00 GMT 2024","Tue Jul 02 23:01:14 GMT 2024","14014","Surefire suite","Surefire test","com.luma.palywright.VerifyDescendingSortByPriceTest","com.luma.palywright.VerifyDescendingSortByPriceTest","testDescendingSortByPrice","testDescendingSortByPrice",""
"unknown","Tue Jul 02 22:59:10 GMT 2024","Tue Jul 02 22:59:10 GMT 2024","0","Surefire suite","Surefire test","com.luma.selenium.WishlistPageTest","com.luma.selenium.WishlistPageTest","testAddRandomProductToWishlist","testAddRandomProductToWishlist",""
"passed","Tue Jul 02 22:59:12 GMT 2024","Tue Jul 02 22:59:14 GMT 2024","1186","Surefire suite","Surefire test","com.luma.selenium.MainPageTest","com.luma.selenium.MainPageTest","testMainPageElements","testMainPageElements",""
"passed","Tue Jul 02 22:59:14 GMT 2024","Tue Jul 02 22:59:15 GMT 2024","902","Surefire suite","Surefire test","com.luma.selenium.SignInSeleniumTest","com.luma.selenium.SignInSeleniumTest","testSign","testSign",""
"passed","Tue Jul 02 22:59:29 GMT 2024","Tue Jul 02 22:59:30 GMT 2024","966","Surefire suite","Surefire test","com.luma.selenium.LoginPageTest","com.luma.selenium.LoginPageTest","testNavigationBar","testNavigationBar",""
