"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 02 23:04:52 GMT 2024","Tue Jul 02 23:04:57 GMT 2024","5123","Surefire suite","Surefire test","com.luma.palywright.LumaHomeNavigationTest","com.luma.palywright.LumaHomeNavigationTest","testNamesWomenSection","testNamesWomenSection",""
"passed","Tue Jul 02 23:04:32 GMT 2024","Tue Jul 02 23:04:48 GMT 2024","16216","Surefire suite","Surefire test","com.luma.palywright.SignInTest","com.luma.palywright.SignInTest","testSingIn","testSingIn",""
"passed","Tue Jul 02 23:03:13 GMT 2024","Tue Jul 02 23:03:14 GMT 2024","937","Surefire suite","Surefire test","com.luma.selenium.SearchBoxTest","com.luma.selenium.SearchBoxTest","testFindBackPack","testFindBackPack",""
"unknown","Tue Jul 02 23:03:12 GMT 2024","Tue Jul 02 23:03:12 GMT 2024","0","Surefire suite","Surefire test","com.luma.selenium.WishlistPageTest","com.luma.selenium.WishlistPageTest","testAddRandomProductToWishlist","testAddRandomProductToWishlist",""
"passed","Tue Jul 02 23:03:25 GMT 2024","Tue Jul 02 23:03:29 GMT 2024","3240","Surefire suite","Surefire test","com.luma.selenium.VerifyDescendingSortByPriceSeleniumTest","com.luma.selenium.VerifyDescendingSortByPriceSeleniumTest","testDescendingSortByPrice","testDescendingSortByPrice",""
"passed","Tue Jul 02 23:03:15 GMT 2024","Tue Jul 02 23:03:16 GMT 2024","592","Surefire suite","Surefire test","com.luma.selenium.SignInSeleniumTest","com.luma.selenium.SignInSeleniumTest","testSign","testSign",""
"unknown","Tue Jul 02 23:03:12 GMT 2024","Tue Jul 02 23:03:12 GMT 2024","0","Surefire suite","Surefire test","com.luma.selenium.CartTest","com.luma.selenium.CartTest","testCartPricing","testCartPricing",""
"passed","Tue Jul 02 23:04:48 GMT 2024","Tue Jul 02 23:04:51 GMT 2024","3105","Surefire suite","Surefire test","com.luma.palywright.HomeTest","com.luma.palywright.HomeTest","testPlaywrightHome","testPlaywrightHome",""
"unknown","Tue Jul 02 23:03:12 GMT 2024","Tue Jul 02 23:03:12 GMT 2024","0","Surefire suite","Surefire test","com.luma.api.MagentoApiTest","com.luma.api.MagentoApiTest","testGetCustomerInfo","testGetCustomerInfo",""
"passed","Tue Jul 02 23:03:37 GMT 2024","Tue Jul 02 23:03:59 GMT 2024","21753","Surefire suite","Surefire test","com.luma.palywright.CreateAccountPlaywrightPageTest","com.luma.palywright.CreateAccountPlaywrightPageTest","testSignInUser","testSignInUser",""
"passed","Tue Jul 02 23:03:23 GMT 2024","Tue Jul 02 23:03:24 GMT 2024","1297","Surefire suite","Surefire test","com.luma.selenium.NavigationTest","com.luma.selenium.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Tue Jul 02 23:03:14 GMT 2024","Tue Jul 02 23:03:15 GMT 2024","1025","Surefire suite","Surefire test","com.luma.selenium.MainPageTest","com.luma.selenium.MainPageTest","testMainPageElements","testMainPageElements",""
"unknown","Tue Jul 02 23:03:12 GMT 2024","Tue Jul 02 23:03:12 GMT 2024","0","Surefire suite","Surefire test","com.luma.selenium.MenPageTest","com.luma.selenium.MenPageTest","testVerifyingMenLinkIsDisplayedClickableRedirectionInTheMainPage","testVerifyingMenLinkIsDisplayedClickableRedirectionInTheMainPage",""
"passed","Tue Jul 02 23:03:29 GMT 2024","Tue Jul 02 23:03:30 GMT 2024","852","Surefire suite","Surefire test","com.luma.selenium.VerifyDescendingSortByPriceSeleniumTest","com.luma.selenium.VerifyDescendingSortByPriceSeleniumTest","testSelenium","testSelenium",""
"unknown","Tue Jul 02 23:03:12 GMT 2024","Tue Jul 02 23:03:12 GMT 2024","0","Surefire suite","Surefire test","com.luma.selenium.AddressBookPageTest","com.luma.selenium.AddressBookPageTest","testAddressBookPage","testAddressBookPage",""
"passed","Tue Jul 02 23:05:01 GMT 2024","Tue Jul 02 23:05:15 GMT 2024","14151","Surefire suite","Surefire test","com.luma.palywright.VerifyDescendingSortByPriceTest","com.luma.palywright.VerifyDescendingSortByPriceTest","testDescendingSortByPrice","testDescendingSortByPrice",""
"unknown","Tue Jul 02 23:03:12 GMT 2024","Tue Jul 02 23:03:12 GMT 2024","1","Surefire suite","Surefire test","com.luma.selenium.CartTest","com.luma.selenium.CartTest","testCartQuantity","testCartQuantity",""
"passed","Tue Jul 02 23:03:16 GMT 2024","Tue Jul 02 23:03:18 GMT 2024","2113","Surefire suite","Surefire test","com.luma.selenium.SignInSeleniumTest","com.luma.selenium.SignInSeleniumTest","testSignIn","testSignIn",""
