"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Mon May 27 20:07:00 GMT 2024","Mon May 27 20:07:00 GMT 2024","1","Surefire suite","Surefire test","com.luma.palywright.LumaHomeNavigationTest","com.luma.palywright.LumaHomeNavigationTest","testWomenSectionButtonsClickable","testWomenSectionButtonsClickable",""
"passed","Mon May 27 20:07:50 GMT 2024","Mon May 27 20:07:53 GMT 2024","2872","Surefire suite","Surefire test","com.luma.palywright.LumaHomeNavigationTest","com.luma.palywright.LumaHomeNavigationTest","testNavigationBar","testNavigationBar",""
"passed","Mon May 27 20:09:09 GMT 2024","Mon May 27 20:09:11 GMT 2024","2337","Surefire suite","Surefire test","com.luma.selenium.SignInSeleniumTest","com.luma.selenium.SignInSeleniumTest","testSignIn","testSignIn",""
"passed","Mon May 27 20:09:13 GMT 2024","Mon May 27 20:09:13 GMT 2024","665","Surefire suite","Surefire test","com.luma.selenium.SearchBoxTest","com.luma.selenium.SearchBoxTest","testFindBackPack","testFindBackPack",""
"unknown","Mon May 27 20:07:00 GMT 2024","Mon May 27 20:07:00 GMT 2024","0","Surefire suite","Surefire test","com.luma.selenium.MenPageTest","com.luma.selenium.MenPageTest","testVerifyingMenLinkIsDisplayedClickableRedirectionInTheMainPage","testVerifyingMenLinkIsDisplayedClickableRedirectionInTheMainPage",""
"unknown","Mon May 27 20:07:00 GMT 2024","Mon May 27 20:07:00 GMT 2024","0","Surefire suite","Surefire test","com.luma.selenium.WishlistPageTest","com.luma.selenium.WishlistPageTest","testAddRandomProductToWishlist","testAddRandomProductToWishlist",""
"passed","Mon May 27 20:07:24 GMT 2024","Mon May 27 20:07:41 GMT 2024","16213","Surefire suite","Surefire test","com.luma.palywright.SignInTest","com.luma.palywright.SignInTest","testSingIn","testSingIn",""
"passed","Mon May 27 20:09:08 GMT 2024","Mon May 27 20:09:08 GMT 2024","633","Surefire suite","Surefire test","com.luma.selenium.SignInSeleniumTest","com.luma.selenium.SignInSeleniumTest","testSign","testSign",""
"passed","Mon May 27 20:08:49 GMT 2024","Mon May 27 20:08:55 GMT 2024","5491","Surefire suite","Surefire test","com.luma.selenium.VerifyDescendingSortByPriceSeleniumTest","com.luma.selenium.VerifyDescendingSortByPriceSeleniumTest","testDescendingSortByPrice","testDescendingSortByPrice",""
"passed","Mon May 27 20:08:57 GMT 2024","Mon May 27 20:09:05 GMT 2024","8343","Surefire suite","Surefire test","com.luma.selenium.SignUpPageTest","com.luma.selenium.SignUpPageTest","testSignInUser","testSignInUser",""
"passed","Mon May 27 20:07:44 GMT 2024","Mon May 27 20:07:49 GMT 2024","5003","Surefire suite","Surefire test","com.luma.palywright.LumaHomeNavigationTest","com.luma.palywright.LumaHomeNavigationTest","testNamesWomenSection","testNamesWomenSection",""
"passed","Mon May 27 20:07:53 GMT 2024","Mon May 27 20:08:08 GMT 2024","15360","Surefire suite","Surefire test","com.luma.palywright.VerifyDescendingSortByPriceTest","com.luma.palywright.VerifyDescendingSortByPriceTest","testDescendingSortByPrice","testDescendingSortByPrice",""
"unknown","Mon May 27 20:07:00 GMT 2024","Mon May 27 20:07:00 GMT 2024","0","Surefire suite","Surefire test","com.luma.selenium.CartTest","com.luma.selenium.CartTest","testCartQuantity","testCartQuantity",""
"passed","Mon May 27 20:09:06 GMT 2024","Mon May 27 20:09:07 GMT 2024","1945","Surefire suite","Surefire test","com.luma.selenium.LoginPageTest","com.luma.selenium.LoginPageTest","testNavigationBar","testNavigationBar",""
"passed","Mon May 27 20:09:11 GMT 2024","Mon May 27 20:09:12 GMT 2024","1163","Surefire suite","Surefire test","com.luma.selenium.MainPageTest","com.luma.selenium.MainPageTest","testMainPageElements","testMainPageElements",""
"passed","Mon May 27 20:08:09 GMT 2024","Mon May 27 20:08:42 GMT 2024","32765","Surefire suite","Surefire test","com.luma.palywright.NavigationPlaywrightPageTest","com.luma.palywright.NavigationPlaywrightPageTest","testNavigateToMenuItems","testNavigateToMenuItems",""
"passed","Mon May 27 20:07:41 GMT 2024","Mon May 27 20:07:44 GMT 2024","2762","Surefire suite","Surefire test","com.luma.palywright.HomeTest","com.luma.palywright.HomeTest","testPlaywrightHome","testPlaywrightHome",""
"unknown","Mon May 27 20:07:00 GMT 2024","Mon May 27 20:07:00 GMT 2024","0","Surefire suite","Surefire test","com.luma.api.MagentoApiTest","com.luma.api.MagentoApiTest","testGetCustomerInfo","testGetCustomerInfo",""
"passed","Mon May 27 20:08:55 GMT 2024","Mon May 27 20:08:56 GMT 2024","710","Surefire suite","Surefire test","com.luma.selenium.VerifyDescendingSortByPriceSeleniumTest","com.luma.selenium.VerifyDescendingSortByPriceSeleniumTest","testSelenium","testSelenium",""
"unknown","Mon May 27 20:07:00 GMT 2024","Mon May 27 20:07:00 GMT 2024","0","Surefire suite","Surefire test","com.luma.selenium.CartTest","com.luma.selenium.CartTest","testCartPricing","testCartPricing",""
"passed","Mon May 27 20:07:00 GMT 2024","Mon May 27 20:07:24 GMT 2024","23436","Surefire suite","Surefire test","com.luma.palywright.CreateAccountPlaywrightPageTest","com.luma.palywright.CreateAccountPlaywrightPageTest","testSignInUser","testSignInUser",""
"unknown","Mon May 27 20:07:00 GMT 2024","Mon May 27 20:07:00 GMT 2024","0","Surefire suite","Surefire test","com.luma.selenium.AddressBookPageTest","com.luma.selenium.AddressBookPageTest","testAddressBookPage","testAddressBookPage",""
